#{"t_start": 1652196130.1036928, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,5055,2.257609
308.0,5900,4.592247
352.0,5030,6.563642
176.0,3884,8.090722
308.0,6348,10.721584
264.0,7083,13.544579
484.0,5266,15.616061
308.0,3526,38.359147
352.0,4020,39.929241
264.0,4148,41.544384
440.0,6200,43.970116
484.0,5422,46.112616
264.0,5570,48.288155
176.0,4416,50.009372
176.0,3636,51.913718
528.0,5418,80.51795
708.0,8946,84.038439
308.0,6016,86.411117
440.0,5464,88.557636
572.0,5220,90.594078
396.0,5092,92.578479
396.0,3840,94.073554
440.0,7708,120.673352
132.0,3678,122.240477
176.0,4393,124.566104
308.0,4726,126.638588
220.0,3646,128.821131
132.0,4598,131.14876
528.0,6574,134.503149
484.0,4522,136.374457
308.0,4642,138.629052
572.0,5995,168.429128
176.0,3506,170.063284
352.0,4496,172.819234
308.0,5542,175.383064
352.0,5742,178.001916
616.0,6552,180.979007
220.0,4600,182.809317
176.0,4324,184.77369
