#{"t_start": 1652195952.0512946, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
20.0,1730,0.840579
160.0,2666,1.884315
220.0,3258,3.260306
40.0,2083,4.075865
40.0,1523,4.645286
40.0,1763,5.333757
160.0,3507,6.661695
40.0,1651,7.29516
20.0,1671,7.914598
40.0,1583,8.539039
0.0,1607,9.130443
60.0,1819,9.843945
0.0,1254,10.3453
40.0,1566,10.921725
200.0,3863,12.40976
120.0,2546,13.383448
140.0,2698,14.386175
0.0,1243,14.876504
0.0,1562,15.451912
20.0,1827,24.373222
20.0,1475,24.931616
100.0,2663,26.094439
100.0,2003,26.838983
40.0,1818,27.515444
0.0,1246,27.998787
120.0,2319,28.861397
100.0,2035,29.65796
60.0,1735,30.303417
120.0,2854,31.4092
40.0,1627,32.02063
100.0,1991,32.788176
180.0,3099,33.981018
120.0,2099,34.766573
0.0,1767,35.431043
180.0,4343,37.102225
80.0,2807,38.147982
120.0,2239,39.006572
160.0,2911,47.337464
0.0,1583,47.932887
120.0,2339,48.799498
140.0,2511,49.835232
60.0,1934,50.662816
60.0,1859,51.399355
0.0,1279,51.893687
120.0,2607,53.185601
80.0,2194,55.03791
100.0,2383,56.228755
20.0,1642,56.856199
40.0,1627,58.536387
220.0,4615,61.258312
40.0,1763,61.941796
0.0,1290,62.476189
40.0,1903,63.201685
120.0,2307,64.089313
60.0,1898,64.794829
40.0,1602,65.409246
40.0,1703,66.032706
0.0,1418,66.551057
40.0,1494,75.508407
20.0,1591,76.089803
60.0,1995,76.874356
60.0,1706,77.503801
160.0,2299,78.372415
40.0,1647,79.082917
160.0,3482,80.399851
40.0,1511,80.959245
100.0,2199,81.804843
120.0,2506,82.728498
0.0,1226,83.229851
140.0,2275,84.070459
180.0,3407,85.356357
60.0,1935,86.067876
80.0,1863,86.79137
100.0,1935,87.503874
100.0,2347,88.44454
120.0,2574,89.427236
100.0,1931,90.137737
120.0,2962,100.655176
120.0,2510,101.584836
0.0,1371,102.115208
60.0,1998,102.851731
300.0,4623,104.599967
0.0,1459,105.167369
100.0,2423,106.069005
60.0,1615,106.691445
100.0,2587,107.649124
20.0,1787,108.335608
20.0,1535,108.903027
20.0,1422,109.422377
120.0,2990,110.567188
0.0,1515,111.154602
100.0,1954,111.925147
0.0,1507,112.702697
200.0,2923,113.845505
140.0,2243,114.706114
100.0,2454,115.607752
60.0,1731,125.817973
